movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
"Six Days, Seven Nights",12-Jun-98,Romantic Comedy,PG-13,74339294.00,133620516.00
Mulan,19-Jun-98,Adventure,G,120620254.00,216807832.00
Armageddon,1-Jul-98,Adventure,PG-13,201578182.00,362324957.00
Jane Austen's Mafia,24-Jul-98,Comedy,PG-13,19843795.00,35668055.00
The Parent Trap,29-Jul-98,Comedy,PG,66308518.00,119185667.00
Firelight,4-Sep-98,Drama,R,784419.00,1409943.00
Simon Birch,11-Sep-98,Drama,PG,18253415.00,32809442.00
Holy Man,9-Oct-98,Comedy,PG,12069719.00,21694605.00
Beloved,16-Oct-98,Drama,R,22852487.00,41062682.00
The Waterboy,6-Nov-98,Comedy,PG-13,161491646.00,288691833.00
I'll Be Home For Christmas,13-Nov-98,Comedy,PG,12214338.00,21941840.00
A Bug's Life,20-Nov-98,Adventure,G,162798565.00,288981698.00
Enemy of the State,20-Nov-98,Action,R,111549836.00,198472008.00
Rushmore,11-Dec-98,Black Comedy,R,17105219.00,28392518.00
A Civil Action,25-Dec-98,Drama,PG-13,56709981.00,94139530.00
Mighty Joe Young,25-Dec-98,Adventure,PG,50632037.00,87906042.00
My Favorite Martian,12-Feb-99,Comedy,PG,36850101.00,61150849.00
The Other Sister,26-Feb-99,Romantic Comedy,PG-13,27807627.00,46145331.00
Doug's 1st Movie,26-Mar-99,Adventure,G,19421271.00,32228598.00
Ten Things I Hate About You,31-Mar-99,Romantic Comedy,PG-13,38177966.00,63354375.00
Endurance,14-May-99,,PG,229128.00,380218.00
Instinct,4-Jun-99,Drama,R,34105207.00,56595842.00
Tarzan,16-Jun-99,Adventure,G,171091819.00,283900254.00
Summer of Sam,2-Jul-99,Drama,R,19288130.00,32007656.00
Inspector Gadget,23-Jul-99,Comedy,PG,97387965.00,161610341.00
The Sixth Sense,6-Aug-99,Thriller/Suspense,PG-13,293506292.00,485424724.00
The 13th Warrior,27-Aug-99,Action,R,32698899.00,54262148.00
Breakfast of Champions,17-Sep-99,Comedy,R,178287.00,295851.00
Mumford,24-Sep-99,Comedy,R,4559569.00,7566363.00
"Mystery, Alaska",1-Oct-99,Comedy,R,8891623.00,14755189.00
The Straight Story,15-Oct-99,Drama,G,6197866.00,10111144.00
The Insider,5-Nov-99,Drama,R,28965197.00,47794214.00
Toy Story 2,19-Nov-99,Adventure,G,245852179.00,404450426.00
Cradle Will Rock,8-Dec-99,Drama,R,2899970.00,4609153.00
Deuce Bigalow: Male Gigolo,10-Dec-99,Comedy,R,65535067.00,106921374.00
Bicentennial Man,17-Dec-99,Drama,PG,58220776.00,94838225.00
Play it to the Bone,24-Dec-99,Comedy,R,8427204.00,13180524.00
Fantasia 2000 (IMAX),1-Jan-00,Musical,G,60507228.00,94852354.00
Gun Shy,4-Feb-00,Comedy,R,1638202.00,2562155.00
The Tigger Movie,11-Feb-00,Adventure,G,45542421.00,71228678.00
Mission to Mars,10-Mar-00,Adventure,PG,60874615.00,95208344.00
High Fidelity,31-Mar-00,Comedy,R,27277055.00,42661516.00
Keeping the Faith,14-Apr-00,Romantic Comedy,PG-13,37036404.00,57925202.00
Dinosaur,19-May-00,Adventure,PG,137748063.00,215438985.00
Shanghai Noon,26-May-00,Western,PG-13,56932305.00,89042541.00
Gone in 60 Seconds,9-Jun-00,Action,PG-13,101643008.00,158970411.00
Fantasia 2000 (Theatrical Release),16-Jun-00,Musical,G,9103630.00,14238144.00
The Kid,7-Jul-00,Comedy,PG,69688384.00,108993148.00
Coyote Ugly,4-Aug-00,Drama,PG-13,60786269.00,95070168.00
The Crew,25-Aug-00,Comedy,PG-13,13019253.00,20362201.00
Duets,15-Sep-00,Drama,R,4734235.00,7404372.00
Remember the Titans,29-Sep-00,Drama,PG,115654751.00,180742479.00
Unbreakable,22-Nov-00,Thriller/Suspense,PG-13,94999143.00,148208901.00
102 Dalmatians,22-Nov-00,Comedy,G,66941559.00,104055039.00
The Emperor's New Groove,15-Dec-00,Adventure,G,89296573.00,136789252.00
"O Brother, Where Art Thou?",22-Dec-00,Comedy,PG-13,45506619.00,67922002.00
Double Take,12-Jan-01,Action,PG-13,29823162.00,44418589.00
Recess: School's Out,16-Feb-01,Comedy,G,36696761.00,54656124.00
Just Visiting,6-Apr-01,Comedy,PG-13,4777007.00,7114869.00
Pearl Harbor,25-May-01,Action,PG-13,198539855.00,295705112.00
Atlantis: The Lost Empire,8-Jun-01,Adventure,PG,84052762.00,125188122.00
crazy/beautiful,29-Jun-01,Drama,PG-13,16929123.00,25214223.00
The Princess Diaries,3-Aug-01,Comedy,G,108244774.00,161218928.00
Bubble Boy,24-Aug-01,Comedy,PG-13,5002310.00,7450434.00
Max Keeble's Big Move,5-Oct-01,Comedy,PG,17292381.00,25749730.00
Corky Romano,12-Oct-01,Comedy,PG-13,23978402.00,35705805.00
High Heels and Low Lifes,26-Oct-01,,R,226792.00,337782.00
"Monsters, Inc.",2-Nov-01,Adventure,G,289423425.00,416073179.00
Out Cold,21-Nov-01,Comedy,PG-13,13906394.00,20700691.00
The Royal Tenenbaums,14-Dec-01,Black Comedy,R,52353636.00,76758193.00
Beauty and the Beast (IMAX),1-Jan-02,Musical,G,25487028.00,36980311.00
Frank McKlusky C.I.,1-Jan-02,,,0.00,0.00
Snow Dogs,18-Jan-02,Comedy,PG,81150692.00,117745317.00
The Count of Monte Cristo,25-Jan-02,Drama,PG-13,54228104.00,78682079.00
Peter Pan: Return to Neverland,15-Feb-02,Adventure,G,48430258.00,70269715.00
Reign of Fire,19-Feb-02,Action,PG-13,43061982.00,62480631.00
Sorority Boys,22-Mar-02,Comedy,R,10198766.00,14797862.00
The Rookie,29-Mar-02,Drama,G,75600072.00,109691666.00
Big Trouble,5-Apr-02,Comedy,PG-13,7262288.00,10537188.00
ESPN's Ultimate X - The Movie,10-May-02,Documentary,PG,4197175.00,6089874.00
Bad Company,7-Jun-02,Action,PG-13,30157016.00,43756218.00
Lilo & Stitch,21-Jun-02,Adventure,PG,145771527.00,211506702.00
The Country Bears,26-Jul-02,Adventure,G,16988996.00,24650121.00
Signs,2-Aug-02,Thriller/Suspense,PG-13,227965690.00,330754439.00
Sen to Chihiro no Kamikakushi,20-Sep-02,Adventure,PG,10049886.00,14338992.00
Sweet Home Alabama,27-Sep-02,Comedy,PG-13,127214072.00,184521151.00
Moonlight Mile,27-Sep-02,Drama,PG-13,6830957.00,9909094.00
Tuck Everlasting,11-Oct-02,Drama,PG,19161999.00,27789959.00
The Santa Clause 2,1-Nov-02,Comedy,G,139225854.00,201959095.00
Treasure Planet,27-Nov-02,Adventure,PG,38120554.00,55189145.00
The Hot Chick,13-Dec-02,Comedy,PG-13,35081550.00,50624654.00
25th Hour,19-Dec-02,Drama,R,13084595.00,18325463.00
The Recruit,31-Jan-03,Thriller/Suspense,PG-13,52784696.00,73793522.00
Shanghai Knights,7-Feb-03,Adventure,PG-13,60470220.00,84537962.00
The Jungle Book 2,14-Feb-03,Adventure,G,47901582.00,66966883.00
Bringing Down the House,7-Mar-03,Comedy,PG-13,132675402.00,185481530.00
Piglet's Big Movie,21-Mar-03,Comedy,G,23103423.00,32298812.00
Ghosts of the Abyss,11-Apr-03,Documentary,G,17093668.00,23803108.00
